store_id,order_id,order_date,ship_date,delivery_date,category,city,revenue
S201,9001,2023-06-01,2023-06-03,2023-06-06,elec,delhi,500
S201,9001,01/06/2023,03-06-2023,06-06-2023,Electronics,Delhi,500
S202,9002,June 2 2023,2023-06-05,2023-06-08,fashion,MUMBAI,700
S203,9003,2023.06.03,2023-06-06,,HOME,mumbai,300
S204,9004,03-06-23,2023-06-07,09-06-2023,home,Delhi,900
S205,9005,2023/06/04,invalid_date,2023-06-09,Elec,delhi,1000
S206,9006,,2023-06-08,2023-06-10,Fashion,Mumbai,1200
S207,9007,05 Jun 2023,2023-06-09,2023-06-12,FASHION,DELHI,1300
S208,9008,20230606,2023-06-10,2023-06-13,electronics,Mumbai,1400
S209,9009,2023-06-07,2023-06-11,2023-06-14,HOME,Delhi,-200
S210,9010,07/06/23,2023-06-12,2023-06-15,Elec,delhi,NaN
S211,9011,2023-06-08,2023-06-13,2023-06-16,Fashion,MUMBAI,1500
S212,9012,08-06-2023,2023-06-14,2023-06-17,home,Delhi,1600
S213,9013,random_text,2023-06-15,2023-06-18,elec,Mumbai,1700
S214,9014,2023-06-10,2023-06-16,2023-06-19,Fashion,delhi,1800
S215,9015,10th Jun 2023,2023-06-17,2023-06-20,Electronics,Mumbai,1900
S216,9016,2023-06-11,2023-06-18,2023-06-21,HOME,Delhi,2000
S217,9017,11/06/2023,2023-06-19,2023-06-22,Elec,MUMBAI,2100
S218,9018,2023-06-12,2023-06-20,2023-06-23,FASHION,Delhi,2200
S219,9019,2023-06-13,2023-06-21,,Home,delhi,2300
S220,9020,2023-06-14,2023-06-22,2023-06-25,electronics,Mumbai,2400
